date,SOx,NOx,먼지,n_units,gen_mwh,utilization,heat_efficiency,temp_mean,humidity_mean,wind_speed_mean,wind_speed_max,wind_sin,wind_cos,precipitation,stagnation_idx,solar_radiation,유연탄,유류,우드펠릿,api_gen_mwh,gen_mwh_combined,coal_ratio,oil_ratio,biomass_ratio,renewable_ratio,solar_mwh,wind_mwh,is_coal,plant,month,dayofweek,year,season,seasonal_mgmt,SOx_lag1,SOx_lag7,NOx_lag1,NOx_lag7,먼지_lag1,먼지_lag7
2024-01-20,469.06879968,2149.1993082240006,272.919061152,2.0,8313.935483870968,52.91817764189158,36.66892508497198,5.8,91.0,8.722222222222221,10.333333333333334,0.7431448254773942,0.6691306063588582,22.5,10.43312101910828,1.55,4433.967741935484,50.83870967741935,0.0,6313.0,6313.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,5,2024,winter,1,822.4491805920001,322.77307996800005,2601.5914654559997,1772.7840146879998,332.497682064,217.28691331199997
2024-01-21,335.49901718399997,1823.80574304,372.68604979199995,2.0,8313.935483870968,52.91817764189158,36.66892508497198,6.4,80.0,5.166666666666667,8.305555555555555,0.2756373558169991,0.9612616959383188,1.1,15.483870967741934,5.64,4433.967741935484,50.83870967741935,0.0,5345.0,5345.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,6,2024,winter,1,469.06879968,488.7013085279999,2149.1993082240006,2237.08810104,272.919061152,240.916197888
2024-01-22,1112.239429056,2908.685292768,527.9399326079999,2.0,8313.935483870968,52.91817764189158,36.66892508497198,-1.4,60.0,8.055555555555555,9.472222222222223,-0.7431448254773946,0.6691306063588578,0.0,7.448275862068965,10.45,4433.967741935484,50.83870967741935,0.0,9114.0,9114.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,0,2024,winter,1,335.49901718399997,308.279985696,1823.80574304,2218.9108730400003,372.68604979199995,243.377122896
2024-01-23,1944.627549264,4278.937431888,490.5124125120001,2.0,8313.935483870968,52.91817764189158,36.66892508497198,-4.6,54.0,7.555555555555555,9.666666666666666,-0.7771459614569708,0.6293203910498375,0.0,7.147058823529412,11.03,4433.967741935484,50.83870967741935,0.0,13026.0,13026.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,1,2024,winter,1,1112.239429056,232.40342160000003,2908.685292768,2509.173072,527.9399326079999,254.498832
2024-01-24,1560.450603744,4039.2302938559997,449.65766419199997,2.0,8313.935483870968,52.91817764189158,36.66892508497198,-3.9,57.0,6.694444444444445,8.222222222222223,-0.7431448254773946,0.6691306063588578,0.0,8.514522821576763,10.95,4433.967741935484,50.83870967741935,0.0,13344.0,13344.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,2,2024,winter,1,1944.627549264,83.15709969599999,4278.937431888,2186.4101929920002,490.5124125120001,231.40167695999997
2024-01-25,1389.102630336,3610.0154479680004,363.08637072,2.0,8313.935483870968,52.91817764189158,36.66892508497198,-1.8,48.0,6.166666666666666,7.222222222222222,-0.7660444431189781,0.6427876096865393,0.0,7.783783783783784,13.18,4433.967741935484,50.83870967741935,0.0,13225.0,13225.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,3,2024,winter,1,1560.450603744,872.3843583839999,4039.2302938559997,2182.683892752,449.65766419199997,270.50758257599995
2024-01-26,541.531264752,1975.989728016,1496.6465941440001,2.0,8313.935483870968,52.91817764189158,36.66892508497198,1.7,55.0,4.472222222222222,6.166666666666666,-0.7880107536067218,0.6156614753256585,0.0,12.298136645962732,13.31,4433.967741935484,50.83870967741935,0.0,9457.0,9457.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,4,2024,winter,1,1389.102630336,822.4491805920001,3610.0154479680004,2601.5914654559997,363.08637072,332.497682064
2024-01-27,210.230239968,1527.7257663839998,160.388733744,2.0,8313.935483870968,52.91817764189158,36.66892508497198,2.7,61.0,3.8055555555555554,4.972222222222221,-0.8290375725550416,0.559192903470747,0.0,16.029197080291972,13.1,4433.967741935484,50.83870967741935,0.0,6960.0,6960.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,5,2024,winter,1,541.531264752,469.06879968,1975.989728016,2149.1993082240006,1496.6465941440001,272.919061152
2024-01-28,290.824667136,1417.7702522880002,155.076935904,2.0,8313.935483870968,52.91817764189158,36.66892508497198,2.3,57.0,4.305555555555555,6.222222222222221,-0.7547095802227722,0.656059028990507,0.0,13.238709677419356,13.68,4433.967741935484,50.83870967741935,0.0,6949.0,6949.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,6,2024,winter,1,210.230239968,335.49901718399997,1527.7257663839998,1823.80574304,160.388733744,372.68604979199995
2024-01-29,238.97526033599996,1362.38232528,154.02396023999998,2.0,8313.935483870968,52.91817764189158,36.66892508497198,1.4,62.0,2.694444444444444,4.611111111111112,-0.8191520442889918,0.573576436351046,0.0,23.01030927835052,13.79,4433.967741935484,50.83870967741935,0.0,6872.0,6872.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,0,2024,winter,1,290.824667136,1112.239429056,1417.7702522880002,2908.685292768,155.076935904,527.9399326079999
