date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,solar_mwh,wind_mwh,wind_speed_max,pressure_mean,solar_radiation,renewable_mwh,renewable_ratio,month,dayofweek,season,year,plant_type,is_coal
2022-06-05,289034.9456544,471920.35504896,99655.30516032,8.05875,17.0225,101.05875,8,18.11,85.01,123.48,2.36,21.25,0.8340784336131712,-0.5516458706284302,36.02118644067797,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,22720.0,9.544459000000002,1.1376000000000002,19.862083,1000.00946,3.31,10.682059000000002,0.000372349637029,6,6,summer,2022,samcheonpo_coal,1
2022-06-06,267892.81388351996,456822.98668224,99762.07369248,10.3325,12.685,89.03625,8,17.62,84.34,110.27,2.55,8.25,0.9380704611221872,-0.3464445265406961,33.07450980392157,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,22362.0,58.53491,0.7675200000000002,21.980644,995.8227,18.71,59.30243,0.0020636357356995,6,0,summer,2022,samcheonpo_coal,1
2022-06-07,329370.49381247995,450812.40278112,96112.3400352,13.00875,13.32625,113.52,8,16.47,83.75,84.98,4.32,0.0,0.9961642143072528,0.0875034749802171,19.386574074074073,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,21936.0,40.643542,0.5839200000000001,12.7279215,1004.0384,13.97,41.227462,0.0014355568627043,6,1,summer,2022,samcheonpo_coal,1
2022-06-08,366434.30522016,604217.30374656,1077381.28448064,16.32875,24.643749999999997,203.32125,8,16.48,84.08,90.08,2.0,0.5,0.9999990252244152,-0.0013962629479141,42.04,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,22106.0,38.800045999999995,0.1454399999999999,10.296251,1008.48444,14.03,38.945485999999995,0.0013562053007326,6,2,summer,2022,samcheonpo_coal,1
2022-06-09,181416.04212672,500984.8644902401,69103.21424256,14.59,21.633750000000003,87.56375,8,16.93,88.79,85.23,1.72,0.0,0.9965365362667312,0.083156069444783,51.62209302325582,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,20455.0,73.652702,0.22176,9.826088,1010.20905,24.89,73.87446200000001,0.0025694177091646,6,3,summer,2022,samcheonpo_coal,1
2022-06-10,191682.18900288,497294.6104944,73881.08026848,7.84125,24.827499999999997,74.43875,8,18.75,82.02,74.58,2.55,0.0,0.9640026489279632,0.2658926340835154,32.16470588235294,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,20883.0,57.986117,0.1512,8.427383,1010.6412,22.41,58.137317,0.0020231735764345,6,4,summer,2022,samcheonpo_coal,1
2022-06-11,185285.01765024,486188.3109254401,72307.25246304,8.328750000000001,19.11125,69.98,8,19.25,88.72,66.55,2.75,0.0,0.9174076993574882,0.3979486313076105,32.26181818181818,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,20447.0,43.490267,0.35352,11.770403,1008.4963,14.72,43.843787000000006,0.0015265192867435,6,5,summer,2022,samcheonpo_coal,1
2022-06-12,173727.72281664005,492795.73739520006,77340.05005248,9.83,23.145,63.95,8,19.37,76.87,107.35,3.16,0.0,0.9545009274565264,-0.2982079467160982,24.325949367088608,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,20545.0,63.762541,0.56016,13.479583,1009.715,22.51,64.322701,0.0022379426827924,6,6,summer,2022,samcheonpo_coal,1
2022-06-13,173382.33672576,980620.232112,155436.77914848,8.105,33.58125,55.3375,8,18.14,84.29,49.99,6.13,0.25,0.765932243850223,0.6429212998731357,13.75040783034258,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,24728.0,28.359938999999997,0.70272,16.29174,1006.4903,8.05,29.062658999999996,0.0010124023503523,6,0,summer,2022,samcheonpo_coal,1
2022-06-14,232072.86144096,891516.28084992,118456.46388,8.47875,20.93125,199.97625,8,16.03,92.38,39.0,3.63,1.25,0.6293203910498374,0.7771459614569709,25.449035812672175,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,31726.0,15.200752,1.9519200000000003,19.35314,1004.23486,3.47,17.152672,0.0005977640623543,6,1,summer,2022,samcheonpo_coal,1
2022-06-15,307379.00434464,799677.90913248,124226.32619232,14.9125,20.96125,417.18500000000006,8,19.43,91.33,81.5,1.86,0.5,0.9890158633619168,0.1478094111296105,49.10215053763441,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,29583.0,40.660492999999995,1.69128,16.92383,1004.0888,17.61,42.351772999999994,0.0014746480944564,6,2,summer,2022,samcheonpo_coal,1
